A1, 0, 0, 0, 0
A2,60,110,102,39
A3,58,100,95,32
A4,55,100,93,22
A5,47,85,73,38
A6,45,75,65,40
A7,37,65,55,42
A8,27,62,55,29
B1, 0, 0, 0, 0
B2,67,107,98,38
B3,65,100,94,29
B4,63,95,88,22
B5,57,55,73,30
B6,55,73,55,45
B7,43,60,50,38
B8,40,50,48,24
C1, 0, 0, 0, 0
C2,75,107,102,30
C3,73,100,95,23
C4,72,95,88,18
C5,70,85,73,25
C6,65,70,60,33
C7,60,60,50,30
C8,53,50,48,15
D1, 0, 0, 0, 0
D2,82,107,102,28
D3,83,100,95,22
D4,82,95,88,16
D5,82,85,73,22
D6,80,70,60,30
D7,77,60,50,25
D8,77,55,50,9
E1, 0, 0, 0, 0
E2,90,105,102,28
E3,92,98,92,27
E4,93,95,88,16
E5,94,85,73,23
E6,95,70,60,29
E7,95,60,50,28
E8,100,52,48,10
F1, 0, 0, 0, 0
F2,96,107,100,32
F3,97,97,85,39
F4,102,95,88,20
F5,105,85,75,22
F6,109,75,60,32
F7,112,60,50,35
F8,120,48,48,15
G1, 0, 0, 0, 0
G2,105,110,100,35
G3,107,105,90,35
G4,112,95,88,24
G5,115,85,75,27
G6,120,75,62,35
G7,123,70,60,26
G8,135,55,50,25
H1, 0, 0, 0, 0
H2,112,110,102,39
H3,115,102,92,40
H4,118,97,90,29
H5,123,85,75,37
H6,130,80,65,39
H7,135,75,65,30
H8,145,70,60,23
